Census,School Name,Category,Year Level,Students
10 February 2023,Ainslie School,Gov,Kindergarten,76
05 August 2022,Ainslie School,Gov,Kindergarten,59
18 February 2022,Ainslie School,Gov,Kindergarten,52
06 August 2021,Ainslie School,Gov,Kindergarten,52
19 February 2021,Ainslie School,Gov,Kindergarten,50
07 August 2020,Ainslie School,Gov,Kindergarten,45
19 February 2020,Ainslie School,Gov,Kindergarten,43
02 August 2019,Ainslie School,Gov,Kindergarten,59
20 February 2019,Ainslie School,Gov,Kindergarten,60
03 August 2018,Ainslie School,Gov,Kindergarten,59
21 February 2018,Ainslie School,Gov,Kindergarten,59
04 August 2017,Ainslie School,Gov,Kindergarten,43
15 February 2017,Ainslie School,Gov,Kindergarten,39
05 August 2016,Ainslie School,Gov,Kindergarten,38
17 February 2016,Ainslie School,Gov,Kindergarten,37
07 August 2015,Ainslie School,Gov,Kindergarten,47
18 February 2015,Ainslie School,Gov,Kindergarten,48
01 August 2014,Ainslie School,Gov,Kindergarten,50
19 February 2014,Ainslie School,Gov,Kindergarten,50
01 August 2013,Ainslie School,Gov,Kindergarten,53
01 February 2013,Ainslie School,Gov,Kindergarten,53
01 August 2012,Ainslie School,Gov,Kindergarten,49
01 February 2012,Ainslie School,Gov,Kindergarten,54
01 August 2011,Ainslie School,Gov,Kindergarten,53
01 February 2011,Ainslie School,Gov,Kindergarten,53
01 August 2010,Ainslie School,Gov,Kindergarten,50
01 February 2010,Ainslie School,Gov,Kindergarten,52
01 August 2009,Ainslie School,Gov,Kindergarten,51
01 February 2009,Ainslie School,Gov,Kindergarten,49
10 February 2023,Ainslie School,Gov,Preschool,59
05 August 2022,Ainslie School,Gov,Preschool,77
18 February 2022,Ainslie School,Gov,Preschool,66
06 August 2021,Ainslie School,Gov,Preschool,42
19 February 2021,Ainslie School,Gov,Preschool,37
07 August 2020,Ainslie School,Gov,Preschool,43
19 February 2020,Ainslie School,Gov,Preschool,40
02 August 2019,Ainslie School,Gov,Preschool,42
20 February 2019,Ainslie School,Gov,Preschool,40
03 August 2018,Ainslie School,Gov,Preschool,62
21 February 2018,Ainslie School,Gov,Preschool,61
04 August 2017,Ainslie School,Gov,Preschool,58
15 February 2017,Ainslie School,Gov,Preschool,62
05 August 2016,Ainslie School,Gov,Preschool,41
17 February 2016,Ainslie School,Gov,Preschool,41
07 August 2015,Ainslie School,Gov,Preschool,39
18 February 2015,Ainslie School,Gov,Preschool,39
01 August 2014,Ainslie School,Gov,Preschool,61
19 February 2014,Ainslie School,Gov,Preschool,57
01 August 2013,Ainslie School,Gov,Preschool,58
01 February 2013,Ainslie School,Gov,Preschool,54
01 August 2012,Ainslie School,Gov,Preschool,60
01 February 2012,Ainslie School,Gov,Preschool,59
01 August 2011,Ainslie School,Gov,Preschool,68
01 February 2011,Ainslie School,Gov,Preschool,63
01 August 2010,Ainslie School,Gov,Preschool,62
01 February 2010,Ainslie School,Gov,Preschool,62
01 August 2009,Ainslie School,Gov,Preschool,64
01 February 2009,Ainslie School,Gov,Preschool,65
10 February 2023,Ainslie School,Gov,Year 1,60
05 August 2022,Ainslie School,Gov,Year 1,61
18 February 2022,Ainslie School,Gov,Year 1,54
06 August 2021,Ainslie School,Gov,Year 1,44
19 February 2021,Ainslie School,Gov,Year 1,41
07 August 2020,Ainslie School,Gov,Year 1,63
19 February 2020,Ainslie School,Gov,Year 1,66
02 August 2019,Ainslie School,Gov,Year 1,59
20 February 2019,Ainslie School,Gov,Year 1,57
03 August 2018,Ainslie School,Gov,Year 1,47
21 February 2018,Ainslie School,Gov,Year 1,47
04 August 2017,Ainslie School,Gov,Year 1,47
15 February 2017,Ainslie School,Gov,Year 1,42
05 August 2016,Ainslie School,Gov,Year 1,51
17 February 2016,Ainslie School,Gov,Year 1,50
07 August 2015,Ainslie School,Gov,Year 1,46
18 February 2015,Ainslie School,Gov,Year 1,52
01 August 2014,Ainslie School,Gov,Year 1,60
19 February 2014,Ainslie School,Gov,Year 1,59
01 August 2013,Ainslie School,Gov,Year 1,49
01 February 2013,Ainslie School,Gov,Year 1,49
01 August 2012,Ainslie School,Gov,Year 1,50
01 February 2012,Ainslie School,Gov,Year 1,52
01 August 2011,Ainslie School,Gov,Year 1,57
01 February 2011,Ainslie School,Gov,Year 1,57
01 August 2010,Ainslie School,Gov,Year 1,54
01 February 2010,Ainslie School,Gov,Year 1,54
01 August 2009,Ainslie School,Gov,Year 1,46
01 February 2009,Ainslie School,Gov,Year 1,44
10 February 2023,Ainslie School,Gov,Year 2,63
05 August 2022,Ainslie School,Gov,Year 2,50
18 February 2022,Ainslie School,Gov,Year 2,48
06 August 2021,Ainslie School,Gov,Year 2,65
19 February 2021,Ainslie School,Gov,Year 2,63
07 August 2020,Ainslie School,Gov,Year 2,57
